,AttackID,Date,Location,Narration,Status,lat,lon
79,081-19,2019-07-22 02:25:00+07:00,"Around 16nm NW of Pulau Damar, Indonesia.","Seven pirates armed with a pistol and knives in a small speed boat boarded a bulk carrier underway using a ladder attached with a hook. Master and the second officer taken hostage, tied up and assaulted by the pirates. The pirates stole cash and crew personal belongings before escaping. Incident reported to Korean Authorities.",Boarded,2.9188888,105.16888999999999
81,079-19,2019-07-11 10:30:00+08:00,"Around 2.9nm South of Tanjung Piai, Johor, Malaysia.","Six small wooden boats approached a tug and barge underway. The unauthorised persons boarded the barge, stole its cargo of scrap metal and escaped. The Master contacted the local authorities who dispatched a patrol vessel to investigate.",Boarded,1.2166667,103.51666999999999
83,077-19,2019-06-30 16:30:00+07:00,"Jakarta, Indonesia.","Unnoticed, robbers boarded a berthed bulk carrier during cargo operations. Duty Bosun on routine rounds noticed the store padlock broken and notified the Duty Officer. Alarm raised and crew mustered. It was reported that ship",Boarded,-6.098694999999999,106.88394
84,076-19,2019-06-18 02:00:00+08:00,"Sabah, Malaysia.",Two fishing vessels with 16 crews were approached and boarded by armed persons while enroute from Tambisan to Semporna. The armed persons kidnapped 10 crews and escaped. Local authorities notified.The nine crew were reported released on 21.06.2019.  One remaining crew still held.,Boarded,5.1805334,119.32182
86,074-19,2019-05-31 23:30:00+08:00,"Around 13nm ENE of Bandar Penawar, Johor, Malaysia.","Duty officers onboard an anchored bulk carrier noticed an unauthorised person on the forecastle and proceeded to investigate. As the officers arrived, the person threatened them with a knife and escaped with his accomplice who was waiting in a boat. Incident reported to the local authorities. Coast Guard boarded the vessel to investigate. Nothing reported stolen.",Boarded,1.5734426000000001,104.38532
87,073-19,2019-02-19 21:45:00+08:00,"Taboneo Anchorage, Indonesia.","While carrying out routine rounds onboard an anchored bulk carrier, duty crew noticed the forecastle store door broken into and ship",Boarded,-3.6833334000000004,114.433334
89,071-19,2019-05-29 01:52:00+07:00,"D6 Berth, Cigading Port, Indonesia.",Duty watchman on routine rounds onboard an anchored bulk carrier noticed two robbers in the steering gear room and immediately informed the OOW who sounded the ship,Boarded,-6.008365,105.95875500000001
90,070-19,2019-05-18 16:00:00+08:00,"Around 3.4nm SSE of Tanjung Piai, Johor, Malaysia.","Persons from five wooden boats approached, illegally boarded and stole properties from a crane barge under tow by a tug and escaped. The tug Master contacted the Authorities and reported the incident.",Boarded,1.2166667,103.566666
92,068-19,2019-05-23 21:30:00+08:00,"Taboneo Anchorage, Indonesia.","Seven persons armed with knives, boarded an anchored bulk carrier. They were noticed by the duty watchman who raised the alarm. Crew mustered. The persons threatened the crew with their knives, stole ship",Boarded,-3.7166667,114.43416599999999
96,064-19,2019-05-13 01:10:00+07:00,"Around 4nm East of Pulau Mapur, Indonesia.",Four robbers armed with long knives boarded a general cargo ship underway. They took hostage the duty AB and entered into the Master,Boarded,1.0,104.91361
101,059-19,2019-05-11 17:00:00+07:00,"Lubuk Gaung Anchorage, Dumai Port, Indonesia.",The ship,Boarded,1.721111,101.45
108,052-19,2019-04-27 04:05:00+07:00,"Jakarta Container Terminal, Indonesia.","Two robbers boarded a berthed container ship. Duty oiler on routine rounds noticed the robbers in the engine room and raised the alarm. Hearing the alarm, the robbers escaped empty handed. A search was made throughout the ship. Nothing reported stolen.",Boarded,-6.0972867,106.89706000000001
113,SUS-001,2019-04-21 12:00:00+03:00,"Around 270nm SE of Mogadishu, Somalia.",21.04.2019,Suspicious,-1.05,48.7
116,045-19,2019-03-26 20:30:00+08:00,"Batangas Anchorage, Philippines.","Duty crew on routine rounds noticed a robber near the forecastle and raised the alarm. Crew mustered and approached the forecastle. Seeing the alerted crew, the robber escaped with stolen ship",Boarded,13.733334,121.03333
117,044-19,2019-04-13 15:36:00+05:30,"Visakhapatnam SPM Anchorage, India.","Five boats with eleven persons approached a tanker during anchoring operations. Up on anchoring the boats came alongside, hooked on ropes to the ships rails and commenced boarding the tanker. Alarm raised, ships horn sounded, and crew mustered on deck. Port authorities notified. The unauthorised persons remained on deck as the crew prevented them from entering the accommodation. They did not confront the crew but refused to leave the tanker. Finally, on seeing the approaching pilot boat the unauthorised persons disembarked.",Boarded,17.616945,83.31721999999999
125,036-19,2019-03-27 04:30:00+08:00,"Manila South Quarantine Anchorage, Philippines.","Unnoticed, robbers boarded an anchored container ship and escaped with ship",Boarded,14.55,120.9
133,028-19,2019-02-25 19:06:00+08:00,"Taboneo Anchorage, Indonesia.","Duty watchman on routine rounds onboard an anchored bulk carrier noticed two robbers attempting to board via the anchor chain. He immediately informed the OOW who raised the alarm and crew mustered. Seeing the crew alertness, the robbers retreated into their waiting skiff and escaped. Incident reported to Taboneo Port Control.",Attempted,-3.7297437000000007,114.448044
