lat,lon,Status,AttackID,Location,Narration,Date
17.05139,82.401665,Boarded,027-20,"Kakinada Anchorage, India.","During routine rounds, crew noticed ship",2020-02-20 00:00:00+05:30
18.566668,-72.38389,Boarded,026-20,"Echo Anchorage, Port Au Prince, Haiti.","Two robbers armed with a gun boarded an anchored tanker. Alert duty crew noticed the robbers, raised the alarm and retreated into the accommodation. All crew mustered. Seeing the alerted crew, the robbers escaped with ship",2020-02-25 02:07:00-05:00
-8.167778,12.685,Attempted,025-20,"Around 48.24nm NNW of Luanda, Angola.",Eight pirates in a small boat approached and attempted to board a product tanker underway. All non,2020-02-27 09:24:00+01:00
2.8175,4.6680555,Fired Upon,024-20,"Around 130nm SW of Brass, Nigeria.","Duty office onboard a container ship underway noticed a speed boat approaching at high speed. Alarm raised, speed increased, all non",2020-02-21 02:20:00+00:00
5.1419444,2.103889,Boarded,023-20,"Around 75nm SSW of Cotonou, Benin.","While underway, armed pirates attacked a tanker and kidnapped nine crew members. Vessel sailed to a safe port. Investigations are ongoing. On 06.03.2020 the nine kidnapped crew members were released safely.",2020-02-20 01:03:00+00:00
6.2980556,3.2377777,Attempted,022-20,"Lagos Secure Anchorage Area, Nigeria.",Three persons in a small boat approached an anchored tanker and attempted to board via the anchor chain. Duty crew on routine rounds noticed the attempted boarding and raised the alarm. Seeing the alerted crew the persons aborted the boarding and escaped in their boat. The incident reported to Port Control.,2020-02-18 01:20:00+01:00
-8.716666,13.283334,Boarded,021-20,"Luanda Anchorage, Angola.",Duty crew onboard an anchored support vessel noticed the paint store broken into and ship,2020-02-15 06:00:00+01:00
1.2583333,104.16167,Boarded,020-20,Singapore Straits.,"Duty crew onboard a bulk carrier underway noticed six armed robbers in the engine room and raised the alarm. Crew mustered and incident reported to Singapore VTIS. Seeing the alerted crew, the robbers escaped with stolen ship",2020-02-09 01:20:00+07:00
1.55,5.3166666,Boarded,019-20,"Around 102nm NW of Sao Tome Island, Sao Tome and Principe.","Armed pirates in two boats approached and boarded a container ship underway. Master raised the alarm, sent distress message, stopped the ship and all crew members mustered in the citadel. Upon receiving the distress message, the IMB Piracy Reporting Centre",2020-02-14 07:59:00+00:00
1.2722223,104.270836,Boarded,018-20,Singapore Straits.,"Duty motorman on routine engine room rounds, onboard a product tanker underway, noticed an unauthorized person armed with a knife in the steering gear room. As the motorman challenged the person, a second person was noticed escaping towards the poop deck. Alarm raised. Incident reported to Singapore VTIS. On searching the tanker, nothing was reported stolen.",2020-01-08 03:15:00+07:00
