lat,lon,AttackID,Vessel,Status,Location,Narration,Date
4.5,3.2333333,025-19,Crude Oil Tanker,Boarded,"Around 105nm South of Lagos, Nigeria.","Armed pirates in a speed boat approached and boarded a tanker underway. Alarm raised and all crew mustered in the citadel. Upon receiving information on the incident, the IMB Piracy Reporting Centre",2019-03-02 12:33:00+00:00
4.9016666,-1.6672223,024-19,General Cargo,Boarded,"Takoradi Anchorage, Ghana.","Unnoticed, robbers boarded an anchored cargo vessel. They stole ship",2019-02-23 04:00:00+00:00
3.118611,6.2011113,023-19,Crude Oil Tanker,Fired Upon,"Around 69nm South of Brass, Nigeria.","Two skiffs with 16 armed persons chased, fired upon and attempted to board a tanker underway. General alarm raised, SSAS activated and non",2019-02-27 08:54:00+00:00
3.1333334,6.05,022-19,Product Tanker,Fired Upon,"Around 70nm South of Brass, Nigeria.","Duty officer onboard a product tanker underway noticed on radar, two targets at a distance of 4nm.  At 2nm the targets were seen to cross the stern, increase speed and approach at high speed. As the skiffs closed in to the tanker they opened fire. The onboard Nigerian naval personnel returned fire. The skiffs retreated and followed the tanker for a short duration before moving away.",2019-02-27 20:00:00+00:00
4.9344444,-1.5675,021-19,Crude Oil Tanker,Boarded,"Aboadze Anchorage, Ghana.","Unnoticed, robbers boarded an anchored tanker. They stole ship",2019-02-27 05:00:00+00:00
2.9847221,5.935,020-19,Container,Fired Upon,"Around 80nm South of Brass, Nigeria.",Around four to six armed pirates in a speed boat chased and fired upon a container vessel underway. Alarm raised and non,2019-02-21 00:16:00+00:00
2.535,4.784167,019-19,Landing Craft,Boarded,"Around 136nm SW of Brass, Nigeria.","Five armed pirates attacked and boarded a landing craft underway, kidnapped three crew members and escaped. Incident reported to the Nigerian Navy who dispatched a naval boat to assist the vessel. Remaining crew sailed the vessel under naval escort to a safe anchorage. On 01.03.2019, Owners confirmed the kidnapped crew were released safely.",2019-02-03 05:30:00+00:00
38.866665,118.7,018-19,Bulk Carrier,Boarded,"Caofeidian Anchorage, China.","Duty officer onboard an anchored bulk carrier noticed from the bridge wing a hose connected from an opened DO tank manhole to a small unlit barge alongside the ship. Alarm raised, and duty AB instructed to investigate. Hearing the alarm, the duty officer noticed a robber lowering the hose and escaping in the barge. On sounding the tank, it was reported that DO had been stolen. Incident reported to VTS Caofeidian.",2019-02-11 02:40:00+08:00
6.347804,-10.799031,017-19,Product Tanker,Boarded,"Port of Monrovia, Liberia.","Duty crew on routine rounds onboard a berthed product tanker noticed a robber armed with a knife. Alarm sounded, resulting in the robber escaping. On searching the vessel, ship",2019-02-09 03:40:00+00:00
6.2855554,3.3175,016-19,Product Tanker,Boarded,"Lagos Security Anchorage Area, Nigeria.",Two unauthorised persons boarded a tanker during STS operations. The security guard noticed the robber and raised the alarm resulting in the persons escaping. Nothing was stolen.,2019-01-04 00:25:00+01:00
